database	table	query	name	position	number	team	url	Is Relevant?
whoosh	players	seattle 3	Trevone Boykin	Quarterback	2	Seattle Seahawks	https://en.wikipedia.org/wiki/Trevone_Boykin	1
whoosh	players	seattle 3	Russell Wilson	Quarterback	3	Seattle Seahawks	https://en.wikipedia.org/wiki/Russell_Wilson	1
whoosh	players	seattle 3	Alex Collins	Running Back	36	Seattle Seahawks	https://en.wikipedia.org/wiki/Alex_Collins_(American_football)	0
whoosh	players	seattle 3	George Farmer	Running Back	39	Seattle Seahawks	https://en.wikipedia.org/wiki/George_Farmer_(running_back)	0
whoosh	players	seattle 3	Malcolm Johnson	Running Back	44	Seattle Seahawks	https://en.wikipedia.org/wiki/Malcolm_Johnson_(fullback)	0
whoosh	players	seattle 3	Eddie Lacy	Running Back	27	Seattle Seahawks	https://en.wikipedia.org/wiki/Eddie_Lacy	0
whoosh	players	seattle 3	Tre Madden	Running Back	38	Seattle Seahawks	https://en.wikipedia.org/wiki/Tre_Madden	0
whoosh	players	seattle 3	Terrence Magee	Running Back	26	Seattle Seahawks	https://en.wikipedia.org/wiki/Terrence_Magee	0
whoosh	players	seattle 3	J. D. McKissic	Running Back	30	Seattle Seahawks	https://en.wikipedia.org/wiki/J._D._McKissic	0
whoosh	players	seattle 3	Troymaine Pope	Running Back	43	Seattle Seahawks	https://en.wikipedia.org/wiki/Troymaine_Pope	0
