database	table	query	name	position	number	team	url	Is Relevant?
whoosh	players	defensive	Deandre Coleman	Defensive Lineman	98	Buffalo Bills	https://en.wikipedia.org/wiki/Deandre_Coleman	1
whoosh	players	defensive	Marcell Dareus	Defensive Lineman	99	Buffalo Bills	https://en.wikipedia.org/wiki/Marcell_Dareus	1
whoosh	players	defensive	Ryan Davis	Defensive Lineman	56	Buffalo Bills	https://en.wikipedia.org/wiki/Ryan_Davis_(American_football)	1
whoosh	players	defensive	Jerry Hughes	Defensive Lineman	55	Buffalo Bills	https://en.wikipedia.org/wiki/Jerry_Hughes	1
whoosh	players	defensive	Shaq Lawson	Defensive Lineman	90	Buffalo Bills	https://en.wikipedia.org/wiki/Shaq_Lawson	1
whoosh	players	defensive	Jake Metz	Defensive Lineman	96	Buffalo Bills	https://en.wikipedia.org/wiki/Jake_Metz	1
whoosh	players	defensive	Ian Seau	Defensive Lineman	91	Buffalo Bills	https://en.wikipedia.org/w/index.php?title=Ian_Seau_(defensive_end)&action=edit&redlink=1	1
whoosh	players	defensive	Max Valles	Defensive Lineman	54	Buffalo Bills	https://en.wikipedia.org/wiki/Max_Valles	1
whoosh	players	defensive	Adolphus Washington	Defensive Lineman	92	Buffalo Bills	https://en.wikipedia.org/wiki/Adolphus_Washington	1
whoosh	players	defensive	Kyle Williams	Defensive Lineman	95	Buffalo Bills	https://en.wikipedia.org/wiki/Kyle_Williams_(defensive_tackle)	1
