database	table	query	name	rating	city	state	url	Is Relevant?
mongo	restaurants	bar and grill	The Garage Bar & Grill	4.0	Bremerton	Washington	https://www.yelp.com/biz/the-garage-bar-and-grill-bremerton?adjust_creative=REiAz8Bdo4ZDdqoSeZ_CHw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=REiAz8Bdo4ZDdqoSeZ_CHw	1
mongo	restaurants	bar and grill	501 Bar and Grill	4.0	Flint	Michigan	https://www.yelp.com/biz/501-bar-and-grill-flint?adjust_creative=REiAz8Bdo4ZDdqoSeZ_CHw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=REiAz8Bdo4ZDdqoSeZ_CHw	1
mongo	restaurants	bar and grill	435 Bar & Grille	3.5	Leominster	Massachusetts	https://www.yelp.com/biz/435-bar-and-grille-leominster?adjust_creative=REiAz8Bdo4ZDdqoSeZ_CHw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=REiAz8Bdo4ZDdqoSeZ_CHw	1
mongo	restaurants	bar and grill	Boomerjack's Grill and Bar	3.0	Mesquite	Texas	https://www.yelp.com/biz/boomerjacks-grill-and-bar-mesquite?adjust_creative=REiAz8Bdo4ZDdqoSeZ_CHw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=REiAz8Bdo4ZDdqoSeZ_CHw	1
mongo	restaurants	bar and grill	Braiz'n Bar and Grill	4.0	Monroe	Louisiana	https://www.yelp.com/biz/braizn-bar-and-grill-monroe?adjust_creative=REiAz8Bdo4ZDdqoSeZ_CHw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=REiAz8Bdo4ZDdqoSeZ_CHw	1
mongo	restaurants	bar and grill	No Frill Bar and Grill	4.5	Norfolk	Virginia	https://www.yelp.com/biz/no-frill-bar-and-grill-norfolk?adjust_creative=REiAz8Bdo4ZDdqoSeZ_CHw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=REiAz8Bdo4ZDdqoSeZ_CHw	1
mongo	restaurants	bar and grill	Library Bar & Grill	4.0	Norman	Oklahoma	https://www.yelp.com/biz/library-bar-and-grill-norman?adjust_creative=REiAz8Bdo4ZDdqoSeZ_CHw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=REiAz8Bdo4ZDdqoSeZ_CHw	1
mongo	restaurants	bar and grill	Austins Bar & Grill	3.5	Olathe	Kansas	https://www.yelp.com/biz/austins-bar-and-grill-olathe?adjust_creative=REiAz8Bdo4ZDdqoSeZ_CHw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=REiAz8Bdo4ZDdqoSeZ_CHw	1
mongo	restaurants	bar and grill	Yardarm Bar & Grill	3.5	Racine	Wisconsin	https://www.yelp.com/biz/yardarm-bar-and-grill-racine?adjust_creative=REiAz8Bdo4ZDdqoSeZ_CHw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=REiAz8Bdo4ZDdqoSeZ_CHw	1
mongo	restaurants	bar and grill	Savoy Bar & Grill	4.5	Saginaw	Michigan	https://www.yelp.com/biz/savoy-bar-and-grill-saginaw?adjust_creative=REiAz8Bdo4ZDdqoSeZ_CHw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=REiAz8Bdo4ZDdqoSeZ_CHw	1
